,Censo,Cuadro,Link,Provincia,Departamento,Indicador,Unidad de registro,Valor
81,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Araucaria,Hectáreas,0.0
82,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Cedro,Hectáreas,0.0
83,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Pehuén,Hectáreas,0.0
84,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Tipa,Hectáreas,0.0
85,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Peteribí,Hectáreas,0.0
86,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Lapacho,Hectáreas,0.0
87,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Guatambú,Hectáreas,0.0
88,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Lenga,Hectáreas,0.0
89,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Quebracho,Hectáreas,0.0
90,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Otras forestales nativas,Hectáreas,0.0
91,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Otras forestales,Hectáreas,0.0
92,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Total,Hectáreas,20.0
93,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Álamo,Hectáreas,0.0
94,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Eucalipto,Hectáreas,20.0
95,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Grevillea,Hectáreas,0.0
96,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Kiri,Hectáreas,0.0
97,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Paraíso,Hectáreas,0.0
98,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Toona,Hectáreas,0.0
99,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Pino,Hectáreas,0.0
100,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Pino oregon,Hectáreas,0.0
101,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Sauce ,Hectáreas,0.0
102,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Sauce álamo,Hectáreas,0.0
103,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Algarrobo,Hectáreas,0.0
104,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Araucaria,Hectáreas,0.0
105,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Cedro,Hectáreas,0.0
106,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Pehuén,Hectáreas,0.0
107,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Tipa,Hectáreas,0.0
108,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Peteribí,Hectáreas,0.0
109,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Lapacho,Hectáreas,0.0
110,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Guatambú,Hectáreas,0.0
111,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Lenga,Hectáreas,0.0
112,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Quebracho,Hectáreas,0.0
113,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Otras forestales nativas,Hectáreas,0.0
114,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Otras forestales,Hectáreas,0.0
115,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Total,Hectáreas,0.0
116,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Álamo,Hectáreas,0.0
117,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Eucalipto,Hectáreas,0.0
118,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Grevillea,Hectáreas,0.0
119,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Kiri,Hectáreas,0.0
120,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Paraíso,Hectáreas,0.0
121,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Toona,Hectáreas,0.0
122,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Pino,Hectáreas,0.0
123,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Pino oregon,Hectáreas,0.0
124,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06035,Buenos Aires,Avellaneda,Sauce ,Hectáreas,0.0
