Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Cítricos  | Pomelo ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Cítricos  | Otros y sin discriminar,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De pepita  | Manzano ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De pepita  | Membrillo ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De pepita  | Peral ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De carozo  | Cerezo ,Hectáreas,1.3,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De carozo  | Ciruelo ,Hectáreas,21.3,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De carozo  | Damasco ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De carozo  | Duraznero ,Hectáreas,0.5,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,De carozo  | Otros ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Almendro ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Avellano ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Castaño ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Nogal ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Pecán ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Secos  | Otros secos ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Menores (berries) | Arándano ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Menores (berries) | Frambuesa ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Menores (berries) | Otros berries ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Higuera,Hectáreas,0.5,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Kiwi,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Olivo  | Aceite ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Olivo  | Conserva ,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Tuna,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Vid,Hectáreas,9.6,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Otros frutales,Hectáreas,0.0,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,avellaneda,Sin discriminar ,Hectáreas,0.1,06035
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Total,Hectáreas,15.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Cítricos  | Limonero ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Cítricos  | Mandarino ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Cítricos  | Naranjo ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Cítricos  | Pomelo ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Cítricos  | Otros y sin discriminar,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De pepita  | Manzano ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De pepita  | Membrillo ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De pepita  | Peral ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De carozo  | Cerezo ,Hectáreas,4.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De carozo  | Ciruelo ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De carozo  | Damasco ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De carozo  | Duraznero ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,De carozo  | Otros ,Hectáreas,2.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Almendro ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Avellano ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Castaño ,Hectáreas,1.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Nogal ,Hectáreas,1.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Pecán ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Secos  | Otros secos ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Menores (berries) | Arándano ,Hectáreas,7.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Menores (berries) | Frambuesa ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Menores (berries) | Otros berries ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Higuera,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Kiwi,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Olivo  | Aceite ,Hectáreas,0.0,06049
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,azul,Olivo  | Conserva ,Hectáreas,0.0,06049
