Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Alfalfa consociada,Hectáreas,1537.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Otras perennes consociadas,Hectáreas,915.5,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Sin discriminar,Hectáreas,120.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Total,Hectáreas,9.5,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Achicoria,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Agropiro,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Alfalfa pura,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Cebadilla criolla,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Falaris,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Festuca,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Lotus,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Panicum,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Pasto llorón,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Pasto ovillo,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Pasto Pangola,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Raigrás perenne,Hectáreas,0.0,06028
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,almirante brown,Sorgo negro,Hectáreas,0.0,06028
