Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 100,1 - 200",42.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 200,1 - 500",86.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 500,1 - 1.000",89.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 1.000,1 - 1.500",38.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 1.500,1 - 2.000",21.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 2.000,1 - 2.500",6.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 2.500,1 - 3.500",10.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 3.500,1 - 5.000",11.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 5.000,1 - 7.500",4.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 7.500,1 - 10.000",1.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 10.000,1 - 20.000",0.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,EAP | Más de 20.000,0.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,Hectárea | Total,302585.5,06014
