censo,cuadro,provincia,departamento,link,unidad_de_registro,indicador,valor,escala_total
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,0 - 5,0,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"5,1 - 10",3,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"10,1 - 25",-1,0-25
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"25,1 - 50",4,25-50
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"50,1 - 100",11,50-100
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"100,1 - 200",39,100-200
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"200,1 - 500",79,200-500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"500,1 - 1.000",62,500-1.000
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"1.000,1 - 1.500",32,1.000-2.500
2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"1.500,1 - 2.000",23,1.000-2.500
