censo,cuadro,link,provincia,departamento,unidad_de_registro,indicador,valor,escala_total
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"200,1 - 500",28468,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"500,1 - 1.000",63910,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"1.000,1 - 1.500",48143,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"1.500,1 - 2.000",35323,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"2.000,1 - 2.500",13031,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"2.500,1 - 3.500",30093,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"3.500,1 - 5.000",43426,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"5.000,1 - 7.500",23985,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"7.500,1 - 10.000",7872,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06014,buenos aires,adolfo gonzales chaves,Hectárea,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,Tot-l,287,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,EAP sin límites definidos,0,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,0 - 5,1,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"5,1 - 10",8,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"10,1 - 25",14,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"25,1 - 50",29,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"50,1 - 100",61,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"100,1 - 200",57,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"200,1 - 500",66,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"500,1 - 1.000",27,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"1.000,1 - 1.500",10,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"1.500,1 - 2.000",3,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"2.000,1 - 2.500",6,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"2.500,1 - 3.500",2,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"3.500,1 - 5.000",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"5.000,1 - 7.500",2,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"7.500,1 - 10.000",0,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,"10.000,1 - 20.000",1,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,EAP,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,Tot-l,117296.7,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,EAP sin límites definidos,-1,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,0 - 5,4,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"5,1 - 10",62.5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"10,1 - 25",243.5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"25,1 - 50",1098,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"50,1 - 100",4581.2,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"100,1 - 200",8213,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"200,1 - 500",21227.5,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"500,1 - 1.000",19992,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"1.000,1 - 1.500",12186,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"1.500,1 - 2.000",5371,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"2.000,1 - 2.500",13381,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"2.500,1 - 3.500",6007,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"3.500,1 - 5.000",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"5.000,1 - 7.500",13899,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"7.500,1 - 10.000",0,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,"10.000,1 - 20.000",11031,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06021,buenos aires,alberti,Hectárea,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,Tot-l,40,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,EAP sin límites definidos,0,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,0 - 5,23,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"5,1 - 10",11,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"10,1 - 25",2,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"25,1 - 50",3,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"50,1 - 100",0,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"100,1 - 200",1,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"200,1 - 500",0,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"500,1 - 1.000",0,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"1.000,1 - 1.500",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"1.500,1 - 2.000",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"2.000,1 - 2.500",0,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"2.500,1 - 3.500",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"3.500,1 - 5.000",0,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"5.000,1 - 7.500",0,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06028,buenos aires,almirante brown,EAP,"7.500,1 - 10.000",0,5.000-10.000
